State,Year,Party,Candidate,Votes
Total,2004,Republican,Bush,62040610
Total,2008,Republican,Mccain,59948323
Total,2012,Republican,Romney,60933504
Total,2016,Republican,Trump,62984828
Total,2020,Republican,Trump,74223975
Total,2024,Republican,Trump,77096012
AK,2004,Democrat,Kerry,111025
AK,2008,Democrat,Obama,123594
AK,2012,Democrat,Obama,122640
AK,2016,Democrat,Clinton,116454
AK,2020,Democrat,Biden,153778
AK,2024,Democrat,Harris,139812
AL,2004,Democrat,Kerry,693933
AL,2008,Democrat,Obama,813479
AL,2012,Democrat,Obama,795696
AL,2016,Democrat,Clinton,729547
AL,2020,Democrat,Biden,849624
AL,2024,Democrat,Harris,772412
AR,2004,Democrat,Kerry,469953
AR,2008,Democrat,Obama,422310
AR,2012,Democrat,Obama,394409
AR,2016,Democrat,Clinton,380494
AR,2020,Democrat,Biden,423932
AR,2024,Democrat,Harris,396905
AZ,2004,Democrat,Kerry,893524
AZ,2008,Democrat,Obama,1034707
AZ,2012,Democrat,Obama,1025232
AZ,2016,Democrat,Clinton,1161167
AZ,2020,Democrat,Biden,1672143
AZ,2024,Democrat,Harris,1582860
CA,2004,Democrat,Kerry,6745485
CA,2008,Democrat,Obama,8274473
CA,2012,Democrat,Obama,7854285
CA,2016,Democrat,Clinton,8753792
CA,2020,Democrat,Biden,11110639
CA,2024,Democrat,Harris,9249261
CO,2004,Democrat,Kerry,1001732
CO,2008,Democrat,Obama,1288633
CO,2012,Democrat,Obama,1323102
CO,2016,Democrat,Clinton,1338870
CO,2020,Democrat,Biden,1804352
CO,2024,Democrat,Harris,1728159
CT,2004,Democrat,Kerry,857488
CT,2008,Democrat,Obama,997772
CT,2012,Democrat,Obama,905083
CT,2016,Democrat,Clinton,897572
CT,2020,Democrat,Biden,1080831
CT,2024,Democrat,Harris,994287
DC,2004,Democrat,Kerry,202970
DC,2008,Democrat,Obama,245800
DC,2012,Democrat,Obama,267070
DC,2016,Democrat,Clinton,282830
DC,2020,Democrat,Biden,317323
DC,2024,Democrat,Harris,294185
DE,2004,Democrat,Kerry,200152
DE,2008,Democrat,Obama,255459
DE,2012,Democrat,Obama,242584
DE,2016,Democrat,Clinton,235603
DE,2020,Democrat,Biden,296268
DE,2024,Democrat,Harris,289758
FL,2004,Democrat,Kerry,3583544
FL,2008,Democrat,Obama,4282074
FL,2012,Democrat,Obama,4237756
FL,2016,Democrat,Clinton,4504975
FL,2020,Democrat,Biden,5297045
FL,2024,Democrat,Harris,4683038
GA,2004,Democrat,Kerry,1366149
GA,2008,Democrat,Obama,1844123
GA,2012,Democrat,Obama,1773827
GA,2016,Democrat,Clinton,1877963
GA,2020,Democrat,Biden,2473633
GA,2024,Democrat,Harris,2548017
HI,2004,Democrat,Kerry,231708
HI,2008,Democrat,Obama,325871
HI,2012,Democrat,Obama,306658
HI,2016,Democrat,Clinton,266891
HI,2020,Democrat,Biden,366130
HI,2024,Democrat,Harris,313044
IA,2004,Democrat,Kerry,741898
IA,2008,Democrat,Obama,828940
IA,2012,Democrat,Obama,822544
IA,2016,Democrat,Clinton,653669
IA,2020,Democrat,Biden,759061
IA,2024,Democrat,Harris,707290
ID,2004,Democrat,Kerry,181098
ID,2008,Democrat,Obama,236440
ID,2012,Democrat,Obama,212787
ID,2016,Democrat,Clinton,189765
ID,2020,Democrat,Biden,287021
ID,2024,Democrat,Harris,274972
IL,2004,Democrat,Kerry,2891550
IL,2008,Democrat,Obama,3419348
IL,2012,Democrat,Obama,3019512
IL,2016,Democrat,Clinton,3090729
IL,2020,Democrat,Biden,3471915
IL,2024,Democrat,Harris,3056367
IN,2004,Democrat,Kerry,969011
IN,2008,Democrat,Obama,1374039
IN,2012,Democrat,Obama,1152887
IN,2016,Democrat,Clinton,1033126
IN,2020,Democrat,Biden,1242498
IN,2024,Democrat,Harris,1160146
KS,2004,Democrat,Kerry,434993
